vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.000876,0.000032,0.003772,0.001174,0.001986,0.000080,0.002711,0.000714
0.005907,0.000391,0.017911,0.008520,0.005380,0.000545,0.010110,0.005430
0.006381,0.000269,0.028417,0.009077,0.010143,0.000548,0.022138,0.006050
0.013421,0.000714,0.068204,0.030530,0.019835,0.001361,0.051308,0.017829
0.016519,0.002009,0.065578,0.077619,0.018530,0.004090,0.050918,0.054907
