vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.001946,0.000065,0.005672,0.001772,0.002801,0.000132,0.003908,0.001058
0.005218,0.000288,0.014498,0.008477,0.005398,0.000545,0.010219,0.005416
0.006553,0.000275,0.028421,0.009074,0.010165,0.000544,0.022362,0.006010
0.013496,0.000675,0.064254,0.025797,0.019485,0.001362,0.052115,0.020485
0.019275,0.002230,0.069790,0.081467,0.019210,0.004354,0.053680,0.062030
