vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.002163,0.000073,0.006325,0.002001,0.003125,0.000148,0.004327,0.001189
0.004310,0.000269,0.013399,0.008493,0.005378,0.000546,0.010093,0.005429
0.006346,0.000269,0.028299,0.009004,0.010306,0.000639,0.024097,0.006134
0.013128,0.000669,0.064405,0.027139,0.020501,0.001366,0.053630,0.018248
0.016706,0.002010,0.070909,0.079574,0.018593,0.004085,0.053125,0.055137
