vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.000898,0.000031,0.003655,0.001247,0.001964,0.000080,0.002643,0.000712
0.005818,0.000468,0.018509,0.008454,0.005730,0.000546,0.010601,0.005445
0.006377,0.000268,0.028280,0.008962,0.010123,0.000547,0.022141,0.006034
0.012837,0.000670,0.064971,0.027883,0.020162,0.001363,0.051473,0.017659
0.016344,0.002013,0.064651,0.078826,0.020776,0.004207,0.053733,0.058069
