vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.001922,0.000065,0.005684,0.001767,0.002787,0.000132,0.003877,0.001068
0.006293,0.000339,0.013492,0.008477,0.005388,0.000546,0.010167,0.005409
0.006315,0.000268,0.028747,0.008987,0.010190,0.000545,0.022500,0.006027
0.012970,0.000693,0.063931,0.028383,0.021733,0.001425,0.052937,0.017826
0.016317,0.002004,0.064877,0.075623,0.019726,0.004493,0.051461,0.055253
