vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.002152,0.000073,0.006345,0.002005,0.003142,0.000149,0.004322,0.001188
0.004332,0.000307,0.013625,0.008463,0.005349,0.000545,0.010084,0.005418
0.006642,0.000282,0.030256,0.009369,0.010042,0.000548,0.022049,0.006141
0.014458,0.000823,0.064683,0.025188,0.019445,0.001359,0.055628,0.018375
0.016386,0.002009,0.064855,0.076329,0.018732,0.004235,0.051861,0.053490
