vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.000832,0.000032,0.002674,0.000757,0.001407,0.000069,0.001622,0.000506
0.003857,0.000268,0.013802,0.008855,0.005395,0.000545,0.010151,0.005410
0.007257,0.000275,0.031260,0.009767,0.010560,0.000545,0.025348,0.006747
0.013569,0.000670,0.067080,0.027400,0.020602,0.001537,0.054326,0.019165
0.017124,0.002178,0.066251,0.077124,0.018497,0.004085,0.050884,0.058131
