vet-ins,vet-fnd,btr-ins,btr-fnd,hst-ins,hst-fnd,htr-ins,htr-fnd
0.002006,0.000067,0.006159,0.002045,0.003316,0.000159,0.004495,0.001199
0.004456,0.000386,0.015316,0.009452,0.005655,0.000545,0.010549,0.005782
0.006271,0.000268,0.029010,0.008966,0.010065,0.000546,0.022259,0.005964
0.013086,0.000669,0.065719,0.026750,0.019853,0.001363,0.052732,0.018801
0.016555,0.002009,0.065494,0.077225,0.018605,0.004088,0.055407,0.053680
